,model,accuracy,precision,recall,f1score,rocauc_ovr,rocauc_ovo,specificity
0,gnb,0.8409221902017292,0.8491069853722417,0.8409221902017292,0.8447937004034873,0.8175110109837433,0.8131921218494321,0.9201121233356693
0,randomforest,0.8851585014409222,0.877104463181625,0.8873198847262248,0.859609216782291,0.868334067373359,0.8676604869441535,0.8918269230769231
0,xgboost,0.9001440922190203,0.8905261932388535,0.9005763688760806,0.8880387431316737,0.8908032667362422,0.890128162986868,0.9186991869918699
0,MLPC,0.8806916426512968,0.8627608753377881,0.8809798270893372,0.843385889203299,0.8949270759256172,0.8995801372836304,0.9062307217766811
