,model,accuracy,precision,recall,f1score,rocauc_ovr,rocauc_ovo,specificity
0,gnb,0.15440404040404038,0.1180072450940872,0.14630303030303032,0.1332870509603458,0.6705476397896499,0.6682267163700497,0.9449340392686063
0,logit,0.12232323232323232,0.10227105070537564,0.14224242424242425,0.09570046837358222,0.6392809901550097,0.6406299967933301,0.9430133819024612
0,knn,0.06616161616161617,0.06288330675172779,0.056020202020202026,0.05313069486111963,0.5050771246013136,0.49391051948051945,0.9407762193782206
0,decisiontree,0.23254545454545453,0.28074770117648906,0.2664646464646464,0.23374750578859316,0.5939705605962325,0.5899494636844637,0.9492782234287012
0,randomforest,0.3007070707070707,0.31266275576275576,0.28262626262626267,0.2834250011221452,0.7048152188024432,0.7060901002084335,0.9513495568514909
0,xgboost,0.24454545454545454,0.25535941936851025,0.2505050505050505,0.2408860162105484,0.664545293902479,0.6744356541606541,0.9530610862965923
0,NN,0.1021818181818182,0.11448797048069774,0.11014141414141414,0.0973629089138893,0.6028491597113277,0.6207282339265673,0.9424609508281225
